phenotype,hr,hr_low,hr_high,p_value,n,events,event_rate,event_rate_pct,median_fu_years
Type IV: Reference,1,1,1,NA,5644,506,0.08965272856130405,9,9.744010951403148
Type I: Metabolic-only,1.3959458946879097,1.2466649027803292,1.5631024315757103,7.442774112815312e-9,5657,793,0.14018030758352484,14,9.705681040383299
Type III: Non-metabolic congestion,1.24626730695585,1.0613101828861933,1.4634573618837483,0.007232759213433784,1890,211,0.11164021164021164,11.2,9.69199178644764
Type II: Malignant CKM,1.538989304995038,1.3322398393153394,1.7778240906729799,4.706094812088943e-9,1878,304,0.16187433439829607,16.2,9.670088980150581
