phenotype,hr,hr_low,hr_high,p_value,n,events,event_rate,event_rate_pct,median_fu_years
Type IV: Reference,1,1,1,NA,2395,567,0.23674321503131524,23.7,5.002053388090349
Type I: Metabolic-only,1.2906954431836755,1.1487506233559168,1.450179606595923,1.7637980784745358e-5,2412,626,0.2595356550580431,26,5.002053388090349
Type III: Non-metabolic congestion,1.0372031778400161,0.8850261762978091,1.2155464560625915,0.6518308931687484,810,210,0.25925925925925924,25.9,5.002053388090349
Type II: Malignant CKM,1.2685990290844542,1.0809460497067018,1.4888286950405067,0.0035798686543608302,793,213,0.2686002522068096,26.9,5.002053388090349
